amenity

police
box_office
bicycle_parking
GAA Club
townhall
mortuary
courthouse
cinema
grave_yard
studio
youth_centre
credit_union
car_mechanic
childcare
bar
sauna
parish centre
car recycling
villagehall
internet_access
ice_cream
Coast Guard
nightclub
after-school
university
clock
telephone
drinking_water
hospital
waste_basket
swimming_pool
hospice
post_box
po
vending_machine
ticket_office
yacht club
public_building
Dance Studio
post_office
Newspapers
doctors
prison
cosmetic_surgery
gallery
bench
arts_centre
taxi
dog_bin
toilets
gym
gallery and studios
shelter
pub;restaurant
fire_station
citizens_information
car_rental
post sorting offfice
fountain
library
kindergarten
school
clinic
funeral_home
pub
atm
parking
social_facility
social_centre
physiotherapy
restaurant
car_wash
parking_meter
Scout Den
cafe
place_of_worship
disused
fuel
confectionery
marketplace
veterinary
bin
amusement_arcade
emergency_phone
vet
fast_food
dentist
bank
ferry_terminal
preschool
community_centre
pharmacy
recycling
embassy
bicycle_rental
casino
nursing_home
college
health centre
theatre
