label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,15002.0,15002.0
664134262_bank,53.36417,-6.48574,0.0,15100.0,15100.0
269516693_bank,53.35641,-6.45094,0.0,14278.0,14278.0
506821883_bank,53.35699,-6.45033,0.0,14208.0,14208.0
506820008_bank,53.35732,-6.45005,0.0,14184.0,14184.0
836241894_bank,53.35904,-6.44599,0.0,13878.0,13878.0
1421925391_bank,53.35348,-6.39078,0.0,12934.0,12934.0
640777155_bank,53.40558,-6.37846,0.0,7986.0,7986.0
142681157_bank,53.38586,-6.37425,0.0,8463.0,8461.0
325750297_bank,53.35565,-6.36908,0.0,11361.0,11361.0
848714318_bank,53.35134,-6.36786,0.0,10939.0,10939.0
292365438_bank,53.28717,-6.36251,0.0,13589.0,13589.0
292365522_bank,53.2872,-6.36183,0.0,13550.0,13550.0
292369382_bank,53.28806,-6.35729,0.0,13321.0,13321.0
1121462423_bank,53.34258,-6.35379,0.0,10252.0,10252.0
458220912_bank,53.28167,-6.34014,0.0,13280.0,13280.0
702781376_bank,53.3164,-6.31716,0.0,10029.0,10029.0
882292484_bank,53.32769,-6.30754,0.0,8815.0,8813.0
282964752_bank,53.29873,-6.30271,0.0,10727.0,10729.0
1425374411_bank,53.29635,-6.29748,0.0,10978.0,10978.0
1425374419_bank,53.29696,-6.29713,0.0,10921.0,10921.0
1425374423_bank,53.2983,-6.28611,0.0,10387.0,10387.0
1425374408_bank,53.2998,-6.2848,0.0,10250.0,10250.0
1425374425_bank,53.29998,-6.28404,0.0,10202.0,10202.0
1430846964_bank,53.30965,-6.28386,0.0,9377.0,9377.0
1020103388_bank,53.36128,-6.28355,0.0,6079.0,6079.0
632707895_bank,53.34655,-6.27925,0.0,6435.0,6437.0
632644411_bank,53.34643,-6.27814,0.0,6392.0,6392.0
849784690_bank,53.33232,-6.27428,0.0,7404.0,7404.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,-1.0,-1.0
262397827_bank,53.36083,-6.27172,0.0,5375.0,5375.0
442397196_bank,53.34853,-6.26905,0.0,5810.0,5810.0
739766942_bank,53.33617,-6.26556,0.0,6765.0,6765.0
715732955_bank,53.3226,-6.26548,0.0,7948.0,7949.0
739756788_bank,53.33564,-6.26546,0.0,6809.0,6811.0
778699202_bank,53.33238,-6.26493,0.0,7088.0,7088.0
467744836_bank,53.3523,-6.26175,0.0,5155.0,5155.0
467744900_bank,53.3599,-6.26142,0.0,4724.0,4724.0
445431810_bank,53.34109,-6.26075,0.0,6372.0,6372.0
1348371072_bank,53.3439,-6.26065,0.0,6143.0,6143.0
560989708_bank,53.3432,-6.25961,0.0,6311.0,6311.0
1123319211_bank,53.34852,-6.25936,0.0,5486.0,5486.0
279912238_bank,53.34798,-6.25913,0.0,5521.0,5521.0
1348370985_bank,53.34772,-6.259,0.0,5544.0,5544.0
441995191_bank,53.36325,-6.25782,0.0,3999.0,3999.0
641232440_bank,53.36694,-6.25562,0.0,3428.0,3428.0
564076260_bank,53.32519,-6.25544,0.0,7971.0,7973.0
642990281_bank,53.36767,-6.25527,0.0,-1.0,-1.0
291601540_bank,53.33839,-6.25515,0.0,6837.0,6837.0
650378458_bank,53.32552,-6.25489,0.0,7921.0,7921.0
