label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,19926.0,19926.0
664134262_bank,53.36417,-6.48574,0.0,19861.0,19861.0
269516693_bank,53.35641,-6.45094,0.0,17751.0,17751.0
506821883_bank,53.35699,-6.45033,0.0,17791.0,17791.0
506820008_bank,53.35732,-6.45005,0.0,17814.0,17814.0
836241894_bank,53.35904,-6.44599,0.0,17653.0,17653.0
1421925391_bank,53.35348,-6.39078,0.0,14755.0,14755.0
640777155_bank,53.40558,-6.37846,0.0,17537.0,17536.0
142681157_bank,53.38586,-6.37425,0.0,15168.0,15165.0
325750297_bank,53.35565,-6.36908,0.0,13546.0,13546.0
848714318_bank,53.35134,-6.36786,0.0,13124.0,13124.0
292365438_bank,53.28717,-6.36251,0.0,10519.0,10519.0
292365522_bank,53.2872,-6.36183,0.0,10480.0,10480.0
292369382_bank,53.28806,-6.35729,0.0,10174.0,10174.0
1121462423_bank,53.34258,-6.35379,0.0,11922.0,11922.0
458220912_bank,53.28167,-6.34014,0.0,9425.0,9425.0
702781376_bank,53.3164,-6.31716,0.0,8515.0,8515.0
882292484_bank,53.32769,-6.30754,0.0,8998.0,8996.0
282964752_bank,53.29873,-6.30271,0.0,7171.0,7173.0
1425374411_bank,53.29635,-6.29748,0.0,6914.0,6914.0
1425374419_bank,53.29696,-6.29713,0.0,6902.0,6902.0
1425374423_bank,53.2983,-6.28611,0.0,6248.0,6248.0
1425374408_bank,53.2998,-6.2848,0.0,6373.0,6373.0
1425374425_bank,53.29998,-6.28404,0.0,6364.0,6364.0
1430846964_bank,53.30965,-6.28386,0.0,6748.0,6748.0
1020103388_bank,53.36128,-6.28355,0.0,10721.0,10720.0
632707895_bank,53.34655,-6.27925,0.0,9043.0,9044.0
632644411_bank,53.34643,-6.27814,0.0,8981.0,8980.0
849784690_bank,53.33232,-6.27428,0.0,7905.0,7906.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,-1.0,-1.0
262397827_bank,53.36083,-6.27172,0.0,10176.0,10175.0
442397196_bank,53.34853,-6.26905,0.0,8952.0,8951.0
739766942_bank,53.33617,-6.26556,0.0,7732.0,7729.0
715732955_bank,53.3226,-6.26548,0.0,7064.0,7064.0
739756788_bank,53.33564,-6.26546,0.0,7684.0,7683.0
778699202_bank,53.33238,-6.26493,0.0,7439.0,7438.0
467744836_bank,53.3523,-6.26175,0.0,9008.0,9009.0
467744900_bank,53.3599,-6.26142,0.0,9629.0,9629.0
445431810_bank,53.34109,-6.26075,0.0,8138.0,8137.0
1348371072_bank,53.3439,-6.26065,0.0,8474.0,8473.0
560989708_bank,53.3432,-6.25961,0.0,8305.0,8304.0
1123319211_bank,53.34852,-6.25936,0.0,8664.0,8665.0
279912238_bank,53.34798,-6.25913,0.0,8616.0,8617.0
1348370985_bank,53.34772,-6.259,0.0,8594.0,8595.0
441995191_bank,53.36325,-6.25782,0.0,10073.0,10073.0
641232440_bank,53.36694,-6.25562,0.0,10370.0,10370.0
564076260_bank,53.32519,-6.25544,0.0,6608.0,6609.0
642990281_bank,53.36767,-6.25527,0.0,-1.0,-1.0
291601540_bank,53.33839,-6.25515,0.0,8240.0,8239.0
650378458_bank,53.32552,-6.25489,0.0,6578.0,6577.0
612418021_bank,53.3473,-6.25341,0.0,8350.0,8350.0
646866967_bank,53.32438,-6.25236,0.0,6411.0,6410.0
291633761_bank,53.33744,-6.25138,0.0,7463.0,7463.0
298515362_bank,53.34977,-6.25019,0.0,8465.0,8465.0
558678481_bank,53.34427,-6.2494,0.0,7931.0,7931.0
