label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,12334.0,12334.0
664134262_bank,53.36417,-6.48574,0.0,12269.0,12269.0
269516693_bank,53.35641,-6.45094,0.0,10159.0,10159.0
506821883_bank,53.35699,-6.45033,0.0,10147.0,10147.0
506820008_bank,53.35732,-6.45005,0.0,10123.0,10123.0
836241894_bank,53.35904,-6.44599,0.0,9817.0,9817.0
1421925391_bank,53.35348,-6.39078,0.0,6918.0,6918.0
640777155_bank,53.40558,-6.37846,0.0,8988.0,8988.0
142681157_bank,53.38586,-6.37425,0.0,6619.0,6617.0
325750297_bank,53.35565,-6.36908,0.0,5612.0,5612.0
848714318_bank,53.35134,-6.36786,0.0,5190.0,5190.0
292365438_bank,53.28717,-6.36251,0.0,6858.0,6858.0
292365522_bank,53.2872,-6.36183,0.0,6819.0,6819.0
292369382_bank,53.28806,-6.35729,0.0,6590.0,6590.0
1121462423_bank,53.34258,-6.35379,0.0,4085.0,4085.0
458220912_bank,53.28167,-6.34014,0.0,6903.0,6903.0
702781376_bank,53.3164,-6.31716,0.0,3299.0,3299.0
882292484_bank,53.32769,-6.30754,0.0,2085.0,2083.0
282964752_bank,53.29873,-6.30271,0.0,4349.0,4351.0
1425374411_bank,53.29635,-6.29748,0.0,4600.0,4600.0
1425374419_bank,53.29696,-6.29713,0.0,4543.0,4543.0
1425374423_bank,53.2983,-6.28611,0.0,4009.0,4009.0
1425374408_bank,53.2998,-6.2848,0.0,3872.0,3872.0
1425374425_bank,53.29998,-6.28404,0.0,3824.0,3824.0
1430846964_bank,53.30965,-6.28386,0.0,2999.0,2999.0
1020103388_bank,53.36128,-6.28355,0.0,2287.0,2287.0
632707895_bank,53.34655,-6.27925,0.0,675.0,677.0
632644411_bank,53.34643,-6.27814,0.0,613.0,613.0
849784690_bank,53.33232,-6.27428,0.0,1026.0,1026.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,-1.0,-1.0
262397827_bank,53.36083,-6.27172,0.0,1914.0,1914.0
442397196_bank,53.34853,-6.26905,0.0,1031.0,1032.0
739766942_bank,53.33617,-6.26556,0.0,933.0,934.0
715732955_bank,53.3226,-6.26548,0.0,2116.0,2118.0
739756788_bank,53.33564,-6.26546,0.0,977.0,980.0
778699202_bank,53.33238,-6.26493,0.0,1256.0,1257.0
467744836_bank,53.3523,-6.26175,0.0,1686.0,1687.0
467744900_bank,53.3599,-6.26142,0.0,2641.0,2642.0
445431810_bank,53.34109,-6.26075,0.0,1101.0,1101.0
1348371072_bank,53.3439,-6.26065,0.0,1078.0,1079.0
560989708_bank,53.3432,-6.25961,0.0,1235.0,1235.0
1123319211_bank,53.34852,-6.25936,0.0,1400.0,1400.0
279912238_bank,53.34798,-6.25913,0.0,1435.0,1435.0
1348370985_bank,53.34772,-6.259,0.0,1458.0,1458.0
441995191_bank,53.36325,-6.25782,0.0,3103.0,3104.0
641232440_bank,53.36694,-6.25562,0.0,3400.0,3401.0
564076260_bank,53.32519,-6.25544,0.0,2140.0,2143.0
642990281_bank,53.36767,-6.25527,0.0,-1.0,-1.0
291601540_bank,53.33839,-6.25515,0.0,1395.0,1395.0
650378458_bank,53.32552,-6.25489,0.0,2090.0,2091.0
612418021_bank,53.3473,-6.25341,0.0,1620.0,1622.0
646866967_bank,53.32438,-6.25236,0.0,2258.0,2261.0
291633761_bank,53.33744,-6.25138,0.0,2360.0,2361.0
298515362_bank,53.34977,-6.25019,0.0,1917.0,1917.0
558678481_bank,53.34427,-6.2494,0.0,1732.0,1732.0
565601399_bank,53.33631,-6.2477,0.0,2329.0,2330.0
1463130383_bank,53.38083,-6.24576,0.0,5606.0,5607.0
298526605_bank,53.39528,-6.24564,0.0,6444.0,6445.0
1336631745_bank,53.34822,-6.2456,0.0,2091.0,2091.0
1318857761_bank,53.30331,-6.24548,0.0,4405.0,4406.0
921832745_bank,53.46063,-6.24525,0.0,13309.0,13308.0
679924376_bank,53.34907,-6.24392,0.0,2242.0,2242.0
927235328_bank,53.45301,-6.2432,0.0,12269.0,12270.0
664821063_bank,53.32505,-6.24154,0.0,3038.0,3037.0
1496779540_bank,53.38174,-6.24144,0.0,5009.0,5010.0
1508853548_bank,53.36267,-6.2393,0.0,3166.0,3167.0
441994992_bank,53.36057,-6.23919,0.0,2951.0,2951.0
278007633_bank,53.43143,-6.22933,0.0,9905.0,9906.0
923913615_bank,53.45693,-6.22143,0.0,12056.0,12057.0
922022539_bank,53.45813,-6.22078,0.0,12163.0,12164.0
923907715_bank,53.45826,-6.22073,0.0,12171.0,12172.0
912784526_bank,53.45842,-6.2203,0.0,12186.0,12187.0
913431549_bank,53.46081,-6.21895,0.0,12413.0,12414.0
1500542352_bank,53.2781,-6.2173,0.0,7124.0,7126.0
1500542383_bank,53.27801,-6.21615,0.0,7173.0,7175.0
654042898_bank,53.33257,-6.21553,0.0,3953.0,3954.0
340118552_bank,53.30879,-6.21503,0.0,6332.0,6335.0
698677330_bank,53.31751,-6.20826,0.0,4741.0,4742.0
567038327_bank,53.27732,-6.20656,0.0,7531.0,7533.0
1241999449_bank,53.30216,-6.17914,0.0,6846.0,6847.0
662938379_bank,53.30176,-6.17782,0.0,6883.0,6884.0
662938724_bank,53.30119,-6.17733,0.0,6948.0,6949.0
662938676_bank,53.30127,-6.1771,0.0,6956.0,6957.0
1456300012_bank,53.38046,-6.17247,0.0,6842.0,6844.0
944053489_bank,53.45073,-6.15415,0.0,12567.0,12567.0
944053480_bank,53.45054,-6.15377,0.0,12575.0,12575.0
944053455_bank,53.45088,-6.15343,0.0,12606.0,12606.0
944053511_bank,53.45065,-6.15286,0.0,12603.0,12603.0
606977264_bank,53.2921,-6.13587,0.0,10342.0,10343.0
594872860_bank,53.29226,-6.13574,0.0,10345.0,10344.0
593844433_bank,53.29186,-6.13484,0.0,10398.0,10401.0
431153394_bank,53.2916,-6.13417,0.0,10441.0,10442.0
370330157_bank,53.38975,-6.11032,0.0,-1.0,-1.0
370330071_bank,53.38973,-6.10998,0.0,-1.0,-1.0
751682809_convenience_shop,53.30014,-6.50363,0.0,13089.0,13089.0
751682817_convenience_shop,53.29599,-6.49232,0.0,12816.0,12816.0
640767598_convenience_shop,53.36422,-6.48844,0.0,12362.0,12362.0
664126419_convenience_shop,53.3649,-6.48844,0.0,12398.0,12398.0
1470712172_convenience_shop,53.36435,-6.48785,0.0,12323.0,12323.0
664132892_convenience_shop,53.3639,-6.48755,0.0,12350.0,12350.0
664135381_convenience_shop,53.36442,-6.48651,0.0,12255.0,12255.0
854872013_convenience_shop,53.36412,-6.48538,0.0,12290.0,12290.0
548050889_convenience_shop,53.28316,-6.46865,0.0,-1.0,-1.0
528235797_convenience_shop,53.352,-6.46208,0.0,10833.0,10833.0
674208258_convenience_shop,53.33261,-6.45554,0.0,9639.0,9639.0
528235803_convenience_shop,53.34154,-6.45172,0.0,10274.0,10274.0
506821597_convenience_shop,53.35678,-6.4505,0.0,10167.0,10167.0
981443543_convenience_shop,53.35954,-6.43156,0.0,9074.0,9074.0
632915094_convenience_shop,53.34191,-6.42344,0.0,8388.0,8388.0
1424006130_convenience_shop,53.29076,-6.42106,0.0,9211.0,9211.0
794476260_convenience_shop,53.38288,-6.40961,0.0,8495.0,8495.0
746742520_convenience_shop,53.40554,-6.39345,0.0,8829.0,8829.0
640776117_convenience_shop,53.40544,-6.37859,0.0,8999.0,8999.0
301128077_convenience_shop,53.37791,-6.37689,0.0,6615.0,6615.0
559162555_convenience_shop,53.4287,-6.37482,0.0,-1.0,-1.0
1424006116_convenience_shop,53.27169,-6.37197,0.0,8639.0,8639.0
325762143_convenience_shop,53.35565,-6.37096,0.0,5732.0,5730.0
681469554_convenience_shop,53.35143,-6.36851,0.0,5221.0,5221.0
297812081_convenience_shop,53.39327,-6.3677,0.0,7667.0,7667.0
937866721_convenience_shop,53.30788,-6.36731,0.0,6533.0,6533.0
1420913322_convenience_shop,53.27609,-6.35337,0.0,7949.0,7949.0
300247465_convenience_shop,53.32368,-6.35086,0.0,4249.0,4249.0
944927474_convenience_shop,53.28682,-6.34595,0.0,6796.0,6796.0
681475030_convenience_shop,53.3499,-6.34526,0.0,3948.0,3948.0
293524418_convenience_shop,53.27474,-6.34505,0.0,7712.0,7712.0
292370915_convenience_shop,53.28942,-6.33585,0.0,6224.0,6226.0
1424006131_convenience_shop,53.2758,-6.33062,0.0,7221.0,7221.0
1423523492_convenience_shop,53.37814,-6.32657,0.0,4663.0,4663.0
967682744_convenience_shop,53.37067,-6.32403,0.0,3978.0,3978.0
872685147_convenience_shop,53.33866,-6.32195,0.0,2424.0,2426.0
967681714_convenience_shop,53.36894,-6.31813,0.0,3647.0,3647.0
870020014_convenience_shop,53.27855,-6.31696,0.0,6561.0,6561.0
1159022123_convenience_shop,53.37665,-6.31643,0.0,4155.0,4155.0
988809528_convenience_shop,53.31945,-6.31265,0.0,2994.0,2994.0
516017747_convenience_shop,53.33985,-6.3079,0.0,1705.0,1705.0
516148390_convenience_shop,53.33898,-6.30768,0.0,1717.0,1717.0
369369191_convenience_shop,53.33869,-6.29987,0.0,1267.0,1267.0
369368754_convenience_shop,53.33613,-6.29857,0.0,1251.0,1251.0
644739980_convenience_shop,53.39022,-6.29775,0.0,5977.0,5977.0
739980597_convenience_shop,53.4013,-6.2964,0.0,7262.0,7262.0
248741417_convenience_shop,53.28443,-6.29525,0.0,5319.0,5319.0
1425374586_convenience_shop,53.28193,-6.29495,0.0,5646.0,5648.0
984249246_convenience_shop,53.3482,-6.29445,0.0,1282.0,1284.0
369369673_convenience_shop,53.34244,-6.29416,0.0,923.0,923.0
1426100434_convenience_shop,53.33332,-6.29193,0.0,1162.0,1162.0
369367159_convenience_shop,53.33399,-6.29082,0.0,1065.0,1065.0
882293752_convenience_shop,53.34332,-6.28918,0.0,667.0,665.0
1320101689_convenience_shop,53.27818,-6.28889,0.0,6038.0,6038.0
890728259_convenience_shop,53.34068,-6.2877,0.0,573.0,573.0
1266621892_convenience_shop,53.34337,-6.28685,0.0,551.0,553.0
768231198_convenience_shop,53.33722,-6.28661,0.0,685.0,685.0
1484734457_convenience_shop,53.39068,-6.2864,0.0,6395.0,6394.0
700425967_convenience_shop,53.29851,-6.28595,0.0,4000.0,4000.0
1414422628_convenience_shop,53.33594,-6.28447,0.0,740.0,740.0
984249326_convenience_shop,53.34984,-6.28387,0.0,1079.0,1079.0
878495556_convenience_shop,53.31026,-6.28354,0.0,2945.0,2945.0
738998636_convenience_shop,53.35107,-6.28269,0.0,1039.0,1039.0
616036097_convenience_shop,53.35061,-6.28186,0.0,978.0,978.0
1426048608_convenience_shop,53.34322,-6.28052,0.0,227.0,227.0
912051636_convenience_shop,53.33943,-6.28021,0.0,267.0,267.0
976944637_convenience_shop,53.34996,-6.28,0.0,846.0,846.0
1408449875_convenience_shop,53.33843,-6.27994,0.0,348.0,348.0
948542553_convenience_shop,53.38773,-6.27971,0.0,5852.0,5853.0
1473502330_convenience_shop,53.34263,-6.27911,0.0,133.0,133.0
1322638073_convenience_shop,53.31838,-6.27907,0.0,2199.0,2199.0
583383800_convenience_shop,53.32265,-6.27898,0.0,1832.0,1834.0
369367336_convenience_shop,53.33163,-6.27898,0.0,992.0,992.0
1473450267_convenience_shop,53.34275,-6.27888,0.0,164.0,164.0
552414179_convenience_shop,53.38271,-6.27692,0.0,5409.0,5410.0
1473487754_convenience_shop,53.34311,-6.27629,0.0,260.0,262.0
665822801_convenience_shop,53.32928,-6.2756,0.0,1250.0,1250.0
1226174524_convenience_shop,53.34321,-6.27554,0.0,298.0,298.0
650447155_convenience_shop,53.34821,-6.27501,0.0,724.0,724.0
632564177_convenience_shop,53.35005,-6.2745,0.0,891.0,891.0
1408500947_convenience_shop,53.33927,-6.27395,0.0,360.0,360.0
849784678_convenience_shop,53.33231,-6.27372,0.0,1055.0,1057.0
583256888_convenience_shop,53.33728,-6.27279,0.0,571.0,571.0
639845339_convenience_shop,53.3633,-6.2726,0.0,2502.0,2502.0
639839999_convenience_shop,53.36161,-6.27254,0.0,-1.0,-1.0
616043040_convenience_shop,53.33913,-6.27246,0.0,453.0,453.0
1099868776_convenience_shop,53.34118,-6.27243,0.0,382.0,382.0
1439443400_convenience_shop,53.36617,-6.27209,0.0,-1.0,-1.0
1484733483_convenience_shop,53.38972,-6.27191,0.0,6017.0,6018.0
1514079573_convenience_shop,53.34316,-6.27037,0.0,513.0,513.0
635273555_convenience_shop,53.35105,-6.27028,0.0,1127.0,1127.0
369367922_convenience_shop,53.33234,-6.26929,0.0,1140.0,1141.0
552414039_convenience_shop,53.37427,-6.26885,0.0,4423.0,4424.0
688912012_convenience_shop,53.3707,-6.2685,0.0,4210.0,4211.0
768516994_convenience_shop,53.3474,-6.26835,0.0,967.0,967.0
639848073_convenience_shop,53.37252,-6.26824,0.0,4291.0,4292.0
479100381_convenience_shop,53.34462,-6.26734,0.0,745.0,746.0
660279379_convenience_shop,53.32207,-6.26716,0.0,2209.0,2211.0
911170197_convenience_shop,53.33751,-6.26682,0.0,756.0,757.0
1496722628_convenience_shop,53.38579,-6.26583,0.0,5395.0,5396.0
503224344_convenience_shop,53.34068,-6.26577,0.0,750.0,750.0
637009054_convenience_shop,53.37146,-6.2657,0.0,4115.0,4116.0
564926472_convenience_shop,53.31611,-6.26537,0.0,2676.0,2678.0
631699041_convenience_shop,53.34743,-6.26534,0.0,1086.0,1086.0
564926467_convenience_shop,53.31601,-6.26534,0.0,2675.0,2677.0
564926459_convenience_shop,53.31574,-6.26522,0.0,2704.0,2706.0
1426048637_convenience_shop,53.3267,-6.26517,0.0,1756.0,1758.0
549665002_convenience_shop,53.34406,-6.26475,0.0,833.0,834.0
1426048718_convenience_shop,53.33253,-6.26473,0.0,1244.0,1245.0
1426048691_convenience_shop,53.32906,-6.26466,0.0,1549.0,1551.0
1406173509_convenience_shop,53.33923,-6.26434,0.0,881.0,881.0
480606959_convenience_shop,53.35115,-6.26362,0.0,1413.0,1413.0
311100348_convenience_shop,53.34714,-6.26333,0.0,1141.0,1141.0
588554610_convenience_shop,53.36017,-6.26324,0.0,2601.0,2602.0
641810199_convenience_shop,53.34281,-6.26286,0.0,1000.0,1000.0
729285505_convenience_shop,53.37891,-6.2623,0.0,4765.0,4766.0
311993478_convenience_shop,53.32735,-6.26167,0.0,1776.0,1777.0
659031076_convenience_shop,53.35959,-6.26111,0.0,2620.0,2619.0
1348371013_convenience_shop,53.35246,-6.26104,0.0,1689.0,1690.0
646869831_convenience_shop,53.33105,-6.26091,0.0,1498.0,1499.0
781486939_convenience_shop,53.34011,-6.2609,0.0,1027.0,1027.0
1428337341_convenience_shop,53.36326,-6.26028,0.0,3307.0,3308.0
1423586898_convenience_shop,53.34358,-6.25954,0.0,1261.0,1261.0
1423586903_convenience_shop,53.34393,-6.25942,0.0,1129.0,1130.0
664450176_convenience_shop,53.36204,-6.25941,0.0,3089.0,3090.0
664810672_convenience_shop,53.3594,-6.25911,0.0,2517.0,2518.0
1488891293_convenience_shop,53.35252,-6.25897,0.0,1762.0,1763.0
434153486_convenience_shop,53.34294,-6.25844,0.0,1264.0,1264.0
1517611762_convenience_shop,53.36324,-6.25828,0.0,-1.0,-1.0
1496775245_convenience_shop,53.38522,-6.2582,0.0,5681.0,5682.0
470326863_convenience_shop,53.35426,-6.2572,0.0,1964.0,1967.0
760422938_convenience_shop,53.28775,-6.25661,0.0,5553.0,5553.0
928004583_convenience_shop,53.36306,-6.2565,0.0,3044.0,3045.0
1529922571_convenience_shop,53.39863,-6.25633,0.0,6899.0,6900.0
1252914083_convenience_shop,53.37423,-6.25549,0.0,4399.0,4400.0
642990341_convenience_shop,53.36719,-6.25522,0.0,3414.0,3415.0
1350207392_convenience_shop,53.36734,-6.25518,0.0,3944.0,3945.0
311990080_convenience_shop,53.32543,-6.25517,0.0,2080.0,2081.0
1362728153_convenience_shop,53.38802,-6.25515,0.0,6165.0,6166.0
567263631_convenience_shop,53.34565,-6.25508,0.0,1422.0,1422.0
470326882_convenience_shop,53.35803,-6.25452,0.0,2432.0,2433.0
660192815_convenience_shop,53.36921,-6.25441,0.0,3889.0,3890.0
646867373_convenience_shop,53.32518,-6.25438,0.0,2136.0,2137.0
1517611768_convenience_shop,53.36186,-6.25414,0.0,2839.0,2840.0
1348263264_convenience_shop,53.33837,-6.25412,0.0,2314.0,2314.0
512531378_convenience_shop,53.32494,-6.25392,0.0,2154.0,2155.0
560470678_convenience_shop,53.35093,-6.25251,0.0,1867.0,1867.0
279042312_convenience_shop,53.37293,-6.25221,0.0,-1.0,-1.0
