label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,6301.0,4714.0
664134262_bank,53.36417,-6.48574,0.0,6276.0,4759.0
269516693_bank,53.35641,-6.45094,0.0,5452.0,3475.0
506821883_bank,53.35699,-6.45033,0.0,5492.0,3405.0
506820008_bank,53.35732,-6.45005,0.0,5515.0,3381.0
836241894_bank,53.35904,-6.44599,0.0,5736.0,3388.0
1421925391_bank,53.35348,-6.39078,0.0,5179.0,4700.0
640777155_bank,53.40558,-6.37846,0.0,1889.0,1273.0
142681157_bank,53.38586,-6.37425,0.0,2162.0,1634.0
325750297_bank,53.35565,-6.36908,0.0,5014.0,4495.0
848714318_bank,53.35134,-6.36786,0.0,5048.0,4665.0
292365438_bank,53.28717,-6.36251,0.0,6055.0,6328.0
292365522_bank,53.2872,-6.36183,0.0,6044.0,6317.0
292369382_bank,53.28806,-6.35729,0.0,6058.0,6549.0
1121462423_bank,53.34258,-6.35379,0.0,4826.0,5207.0
458220912_bank,53.28167,-6.34014,0.0,5265.0,6786.0
702781376_bank,53.3164,-6.31716,0.0,5114.0,5546.0
882292484_bank,53.32769,-6.30754,0.0,4539.0,4844.0
282964752_bank,53.29873,-6.30271,0.0,4440.0,5639.0
1425374411_bank,53.29635,-6.29748,0.0,4881.0,5664.0
1425374419_bank,53.29696,-6.29713,0.0,4824.0,5716.0
1425374423_bank,53.2983,-6.28611,0.0,5435.0,5380.0
1425374408_bank,53.2998,-6.2848,0.0,5410.0,5297.0
1425374425_bank,53.29998,-6.28404,0.0,5362.0,5249.0
1430846964_bank,53.30965,-6.28386,0.0,4166.0,5136.0
1020103388_bank,53.36128,-6.28355,0.0,3030.0,2950.0
632707895_bank,53.34655,-6.27925,0.0,3112.0,3574.0
632644411_bank,53.34643,-6.27814,0.0,3069.0,3564.0
849784690_bank,53.33232,-6.27428,0.0,4248.0,4063.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,3435.0,3814.0
262397827_bank,53.36083,-6.27172,0.0,2558.0,2950.0
442397196_bank,53.34853,-6.26905,0.0,3135.0,3355.0
739766942_bank,53.33617,-6.26556,0.0,3928.0,3696.0
715732955_bank,53.3226,-6.26548,0.0,4425.0,4304.0
739756788_bank,53.33564,-6.26546,0.0,3972.0,3712.0
778699202_bank,53.33238,-6.26493,0.0,4106.0,3921.0
467744836_bank,53.3523,-6.26175,0.0,2839.0,2981.0
467744900_bank,53.3599,-6.26142,0.0,2535.0,2729.0
445431810_bank,53.34109,-6.26075,0.0,3745.0,3690.0
1348371072_bank,53.3439,-6.26065,0.0,3516.0,3444.0
560989708_bank,53.3432,-6.25961,0.0,3684.0,3707.0
1123319211_bank,53.34852,-6.25936,0.0,3092.0,3112.0
279912238_bank,53.34798,-6.25913,0.0,3127.0,3168.0
1348370985_bank,53.34772,-6.259,0.0,3150.0,3191.0
441995191_bank,53.36325,-6.25782,0.0,2859.0,2847.0
641232440_bank,53.36694,-6.25562,0.0,3130.0,3137.0
