label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,5122.0,5219.0
664134262_bank,53.36417,-6.48574,0.0,5097.0,5264.0
269516693_bank,53.35641,-6.45094,0.0,4666.0,5034.0
506821883_bank,53.35699,-6.45033,0.0,4706.0,5074.0
506820008_bank,53.35732,-6.45005,0.0,4729.0,5097.0
836241894_bank,53.35904,-6.44599,0.0,4950.0,5188.0
1421925391_bank,53.35348,-6.39078,0.0,4153.0,4111.0
640777155_bank,53.40558,-6.37846,0.0,5606.0,5717.0
142681157_bank,53.38586,-6.37425,0.0,4807.0,4715.0
325750297_bank,53.35565,-6.36908,0.0,3988.0,3476.0
848714318_bank,53.35134,-6.36786,0.0,4050.0,3646.0
292365438_bank,53.28717,-6.36251,0.0,2838.0,3056.0
292365522_bank,53.2872,-6.36183,0.0,2827.0,3045.0
292369382_bank,53.28806,-6.35729,0.0,3127.0,3260.0
1121462423_bank,53.34258,-6.35379,0.0,3826.0,3168.0
458220912_bank,53.28167,-6.34014,0.0,2514.0,2502.0
702781376_bank,53.3164,-6.31716,0.0,2090.0,1767.0
882292484_bank,53.32769,-6.30754,0.0,2998.0,2685.0
282964752_bank,53.29873,-6.30271,0.0,1999.0,1797.0
1425374411_bank,53.29635,-6.29748,0.0,1350.0,1315.0
1425374419_bank,53.29696,-6.29713,0.0,1407.0,1372.0
1425374423_bank,53.2983,-6.28611,0.0,1161.0,789.0
1425374408_bank,53.2998,-6.2848,0.0,1198.0,914.0
1425374425_bank,53.29998,-6.28404,0.0,1150.0,905.0
1430846964_bank,53.30965,-6.28386,0.0,1383.0,1416.0
1020103388_bank,53.36128,-6.28355,0.0,3509.0,3647.0
632707895_bank,53.34655,-6.27925,0.0,3052.0,3059.0
632644411_bank,53.34643,-6.27814,0.0,2990.0,2995.0
849784690_bank,53.33232,-6.27428,0.0,1883.0,1873.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,4269.0,3395.0
262397827_bank,53.36083,-6.27172,0.0,3831.0,3524.0
442397196_bank,53.34853,-6.26905,0.0,2835.0,3140.0
739766942_bank,53.33617,-6.26556,0.0,2183.0,2265.0
715732955_bank,53.3226,-6.26548,0.0,1971.0,1889.0
739756788_bank,53.33564,-6.26546,0.0,2199.0,2219.0
778699202_bank,53.33238,-6.26493,0.0,2133.0,1763.0
467744836_bank,53.3523,-6.26175,0.0,3044.0,3020.0
467744900_bank,53.3599,-6.26142,0.0,3319.0,3234.0
445431810_bank,53.34109,-6.26075,0.0,2740.0,2740.0
1348371072_bank,53.3439,-6.26065,0.0,2722.0,2774.0
560989708_bank,53.3432,-6.25961,0.0,2800.0,2806.0
1123319211_bank,53.34852,-6.25936,0.0,2805.0,2670.0
279912238_bank,53.34798,-6.25913,0.0,2840.0,2705.0
1348370985_bank,53.34772,-6.259,0.0,2863.0,2701.0
441995191_bank,53.36325,-6.25782,0.0,4000.0,3739.0
641232440_bank,53.36694,-6.25562,0.0,3665.0,3438.0
564076260_bank,53.32519,-6.25544,0.0,2048.0,1564.0
642990281_bank,53.36767,-6.25527,0.0,-1.0,-1.0
291601540_bank,53.33839,-6.25515,0.0,2852.0,2567.0
650378458_bank,53.32552,-6.25489,0.0,1998.0,1512.0
612418021_bank,53.3473,-6.25341,0.0,3192.0,2609.0
646866967_bank,53.32438,-6.25236,0.0,1872.0,1435.0
291633761_bank,53.33744,-6.25138,0.0,2785.0,2249.0
298515362_bank,53.34977,-6.25019,0.0,3163.0,2814.0
558678481_bank,53.34427,-6.2494,0.0,2871.0,2262.0
565601399_bank,53.33631,-6.2477,0.0,2754.0,2443.0
1463130383_bank,53.38083,-6.24576,0.0,4040.0,4037.0
298526605_bank,53.39528,-6.24564,0.0,4508.0,4227.0
1336631745_bank,53.34822,-6.2456,0.0,3389.0,2725.0
1318857761_bank,53.30331,-6.24548,0.0,1497.0,1051.0
921832745_bank,53.46063,-6.24525,0.0,6315.0,5764.0
679924376_bank,53.34907,-6.24392,0.0,3571.0,2907.0
927235328_bank,53.45301,-6.2432,0.0,6262.0,6076.0
664821063_bank,53.32505,-6.24154,0.0,2344.0,1847.0
1496779540_bank,53.38174,-6.24144,0.0,4156.0,4255.0
1508853548_bank,53.36267,-6.2393,0.0,3600.0,3492.0
441994992_bank,53.36057,-6.23919,0.0,3393.0,3259.0
278007633_bank,53.43143,-6.22933,0.0,5718.0,5036.0
923913615_bank,53.45693,-6.22143,0.0,5900.0,5136.0
922022539_bank,53.45813,-6.22078,0.0,6045.0,5224.0
923907715_bank,53.45826,-6.22073,0.0,6014.0,5074.0
912784526_bank,53.45842,-6.2203,0.0,5978.0,5038.0
913431549_bank,53.46081,-6.21895,0.0,6124.0,4800.0
1500542352_bank,53.2781,-6.2173,0.0,3546.0,3954.0
1500542383_bank,53.27801,-6.21615,0.0,3606.0,3930.0
654042898_bank,53.33257,-6.21553,0.0,3553.0,3403.0
340118552_bank,53.30879,-6.21503,0.0,3021.0,2589.0
698677330_bank,53.31751,-6.20826,0.0,3826.0,3601.0
567038327_bank,53.27732,-6.20656,0.0,3930.0,3714.0
1241999449_bank,53.30216,-6.17914,0.0,3473.0,4339.0
662938379_bank,53.30176,-6.17782,0.0,3443.0,4326.0
662938724_bank,53.30119,-6.17733,0.0,3494.0,4266.0
662938676_bank,53.30127,-6.1771,0.0,3502.0,4264.0
1456300012_bank,53.38046,-6.17247,0.0,4874.0,4544.0
944053489_bank,53.45073,-6.15415,0.0,6001.0,5773.0
944053480_bank,53.45054,-6.15377,0.0,6053.0,5825.0
944053455_bank,53.45088,-6.15343,0.0,6040.0,5812.0
944053511_bank,53.45065,-6.15286,0.0,6081.0,5853.0
606977264_bank,53.2921,-6.13587,0.0,4389.0,3927.0
594872860_bank,53.29226,-6.13574,0.0,4392.0,3928.0
593844433_bank,53.29186,-6.13484,0.0,4445.0,3985.0
431153394_bank,53.2916,-6.13417,0.0,4488.0,4026.0
370330157_bank,53.38975,-6.11032,0.0,7038.0,5734.0
370330071_bank,53.38973,-6.10998,0.0,7017.0,5747.0
751682809_convenience_shop,53.30014,-6.50363,0.0,5372.0,6558.0
751682817_convenience_shop,53.29599,-6.49232,0.0,5288.0,6611.0
640767598_convenience_shop,53.36422,-6.48844,0.0,5150.0,5247.0
664126419_convenience_shop,53.3649,-6.48844,0.0,5186.0,5283.0
1470712172_convenience_shop,53.36435,-6.48785,0.0,5111.0,5208.0
664132892_convenience_shop,53.3639,-6.48755,0.0,5138.0,5235.0
664135381_convenience_shop,53.36442,-6.48651,0.0,5056.0,5225.0
854872013_convenience_shop,53.36412,-6.48538,0.0,5118.0,5285.0
548050889_convenience_shop,53.28316,-6.46865,0.0,-1.0,-1.0
528235797_convenience_shop,53.352,-6.46208,0.0,5015.0,5535.0
674208258_convenience_shop,53.33261,-6.45554,0.0,6074.0,5863.0
528235803_convenience_shop,53.34154,-6.45172,0.0,5290.0,5162.0
506821597_convenience_shop,53.35678,-6.4505,0.0,4687.0,5055.0
981443543_convenience_shop,53.35954,-6.43156,0.0,4493.0,4650.0
632915094_convenience_shop,53.34191,-6.42344,0.0,4553.0,4269.0
1424006130_convenience_shop,53.29076,-6.42106,0.0,5099.0,5666.0
794476260_convenience_shop,53.38288,-6.40961,0.0,5657.0,6012.0
746742520_convenience_shop,53.40554,-6.39345,0.0,5944.0,5607.0
640776117_convenience_shop,53.40544,-6.37859,0.0,5617.0,5728.0
301128077_convenience_shop,53.37791,-6.37689,0.0,4690.0,5585.0
559162555_convenience_shop,53.4287,-6.37482,0.0,-1.0,-1.0
1424006116_convenience_shop,53.27169,-6.37197,0.0,3649.0,3763.0
325762143_convenience_shop,53.35565,-6.37096,0.0,3864.0,3377.0
681469554_convenience_shop,53.35143,-6.36851,0.0,4085.0,3681.0
297812081_convenience_shop,53.39327,-6.3677,0.0,5821.0,5548.0
937866721_convenience_shop,53.30788,-6.36731,0.0,5787.0,5007.0
1420913322_convenience_shop,53.27609,-6.35337,0.0,2593.0,2763.0
300247465_convenience_shop,53.32368,-6.35086,0.0,3741.0,3509.0
944927474_convenience_shop,53.28682,-6.34595,0.0,3643.0,3748.0
681475030_convenience_shop,53.3499,-6.34526,0.0,3940.0,3980.0
293524418_convenience_shop,53.27474,-6.34505,0.0,2824.0,2995.0
292370915_convenience_shop,53.28942,-6.33585,0.0,2986.0,3173.0
1424006131_convenience_shop,53.2758,-6.33062,0.0,2061.0,2354.0
1423523492_convenience_shop,53.37814,-6.32657,0.0,4444.0,4440.0
967682744_convenience_shop,53.37067,-6.32403,0.0,4426.0,4195.0
872685147_convenience_shop,53.33866,-6.32195,0.0,3127.0,3558.0
967681714_convenience_shop,53.36894,-6.31813,0.0,4095.0,4078.0
870020014_convenience_shop,53.27855,-6.31696,0.0,1728.0,2247.0
1159022123_convenience_shop,53.37665,-6.31643,0.0,4428.0,4371.0
988809528_convenience_shop,53.31945,-6.31265,0.0,2119.0,1864.0
516017747_convenience_shop,53.33985,-6.3079,0.0,2910.0,3307.0
516148390_convenience_shop,53.33898,-6.30768,0.0,2841.0,3311.0
369369191_convenience_shop,53.33869,-6.29987,0.0,2841.0,2861.0
369368754_convenience_shop,53.33613,-6.29857,0.0,2574.0,2620.0
644739980_convenience_shop,53.39022,-6.29775,0.0,4327.0,4647.0
739980597_convenience_shop,53.4013,-6.2964,0.0,5077.0,5075.0
248741417_convenience_shop,53.28443,-6.29525,0.0,946.0,684.0
1425374586_convenience_shop,53.28193,-6.29495,0.0,2056.0,866.0
984249246_convenience_shop,53.3482,-6.29445,0.0,3321.0,3249.0
369369673_convenience_shop,53.34244,-6.29416,0.0,2963.0,3429.0
1426100434_convenience_shop,53.33332,-6.29193,0.0,2469.0,2422.0
369367159_convenience_shop,53.33399,-6.29082,0.0,2568.0,2499.0
882293752_convenience_shop,53.34332,-6.28918,0.0,2871.0,3328.0
1320101689_convenience_shop,53.27818,-6.28889,0.0,2279.0,1386.0
890728259_convenience_shop,53.34068,-6.2877,0.0,3156.0,3124.0
1266621892_convenience_shop,53.34337,-6.28685,0.0,2889.0,3310.0
768231198_convenience_shop,53.33722,-6.28661,0.0,2658.0,2738.0
1484734457_convenience_shop,53.39068,-6.2864,0.0,4516.0,5090.0
700425967_convenience_shop,53.29851,-6.28595,0.0,1152.0,790.0
1414422628_convenience_shop,53.33594,-6.28447,0.0,2787.0,2867.0
984249326_convenience_shop,53.34984,-6.28387,0.0,3593.0,3447.0
878495556_convenience_shop,53.31026,-6.28354,0.0,1400.0,1362.0
738998636_convenience_shop,53.35107,-6.28269,0.0,3431.0,3398.0
616036097_convenience_shop,53.35061,-6.28186,0.0,3486.0,3339.0
