label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,4408.0,57645.0
664134262_bank,53.36417,-6.48574,0.0,4383.0,57690.0
269516693_bank,53.35641,-6.45094,0.0,3952.0,7926.0
506821883_bank,53.35699,-6.45033,0.0,3992.0,7856.0
506820008_bank,53.35732,-6.45005,0.0,4015.0,7832.0
836241894_bank,53.35904,-6.44599,0.0,4236.0,7839.0
1421925391_bank,53.35348,-6.39078,0.0,3439.0,9031.0
640777155_bank,53.40558,-6.37846,0.0,3615.0,4122.0
142681157_bank,53.38586,-6.37425,0.0,1578.0,2785.0
325750297_bank,53.35565,-6.36908,0.0,3274.0,8794.0
848714318_bank,53.35134,-6.36786,0.0,3336.0,8942.0
292365438_bank,53.28717,-6.36251,0.0,5108.0,11164.0
292365522_bank,53.2872,-6.36183,0.0,5097.0,11153.0
292369382_bank,53.28806,-6.35729,0.0,4883.0,11326.0
1121462423_bank,53.34258,-6.35379,0.0,3471.0,8997.0
458220912_bank,53.28167,-6.34014,0.0,4914.0,58128.0
702781376_bank,53.3164,-6.31716,0.0,4659.0,56740.0
882292484_bank,53.32769,-6.30754,0.0,3664.0,56191.0
282964752_bank,53.29873,-6.30271,0.0,3984.0,57326.0
1425374411_bank,53.29635,-6.29748,0.0,4486.0,57763.0
1425374419_bank,53.29696,-6.29713,0.0,4429.0,57706.0
1425374423_bank,53.2983,-6.28611,0.0,4554.0,57567.0
1425374408_bank,53.2998,-6.2848,0.0,4415.0,57484.0
1425374425_bank,53.29998,-6.28404,0.0,4367.0,57436.0
1430846964_bank,53.30965,-6.28386,0.0,3458.0,56960.0
1020103388_bank,53.36128,-6.28355,0.0,2070.0,4380.0
632707895_bank,53.34655,-6.27925,0.0,2089.0,4305.0
632644411_bank,53.34643,-6.27814,0.0,2027.0,4295.0
849784690_bank,53.33232,-6.27428,0.0,3306.0,5414.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,2595.0,-1.0
262397827_bank,53.36083,-6.27172,0.0,2337.0,5569.0
442397196_bank,53.34853,-6.26905,0.0,2284.0,4757.0
739766942_bank,53.33617,-6.26556,0.0,2789.0,5235.0
715732955_bank,53.3226,-6.26548,0.0,3086.0,6661.0
739756788_bank,53.33564,-6.26546,0.0,2764.0,5281.0
778699202_bank,53.33238,-6.26493,0.0,2812.0,5853.0
467744836_bank,53.3523,-6.26175,0.0,2968.0,5657.0
467744900_bank,53.3599,-6.26142,0.0,2499.0,55932.0
445431810_bank,53.34109,-6.26075,0.0,2580.0,4936.0
1348371072_bank,53.3439,-6.26065,0.0,2351.0,4673.0
560989708_bank,53.3432,-6.25961,0.0,2519.0,4953.0
1123319211_bank,53.34852,-6.25936,0.0,2555.0,4997.0
279912238_bank,53.34798,-6.25913,0.0,2590.0,4962.0
1348370985_bank,53.34772,-6.259,0.0,2613.0,4940.0
