label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,3541.0,5265.0
664134262_bank,53.36417,-6.48574,0.0,3516.0,5310.0
269516693_bank,53.35641,-6.45094,0.0,3085.0,4720.0
506821883_bank,53.35699,-6.45033,0.0,3125.0,4760.0
506820008_bank,53.35732,-6.45005,0.0,3148.0,4783.0
836241894_bank,53.35904,-6.44599,0.0,3320.0,4901.0
1421925391_bank,53.35348,-6.39078,0.0,2600.0,3025.0
640777155_bank,53.40558,-6.37846,0.0,4998.0,4804.0
142681157_bank,53.38586,-6.37425,0.0,3461.0,3952.0
325750297_bank,53.35565,-6.36908,0.0,2435.0,2390.0
848714318_bank,53.35134,-6.36786,0.0,2621.0,2560.0
292365438_bank,53.28717,-6.36251,0.0,2838.0,4338.0
292365522_bank,53.2872,-6.36183,0.0,2827.0,4327.0
292369382_bank,53.28806,-6.35729,0.0,3470.0,3326.0
1121462423_bank,53.34258,-6.35379,0.0,2943.0,3057.0
458220912_bank,53.28167,-6.34014,0.0,2514.0,3451.0
702781376_bank,53.3164,-6.31716,0.0,2169.0,2803.0
882292484_bank,53.32769,-6.30754,0.0,2317.0,2799.0
282964752_bank,53.29873,-6.30271,0.0,2164.0,3134.0
1425374411_bank,53.29635,-6.29748,0.0,2175.0,2859.0
1425374419_bank,53.29696,-6.29713,0.0,2232.0,2911.0
1425374423_bank,53.2983,-6.28611,0.0,1855.0,2575.0
1425374408_bank,53.2998,-6.2848,0.0,2026.0,2492.0
1425374425_bank,53.29998,-6.28404,0.0,1971.0,2444.0
1430846964_bank,53.30965,-6.28386,0.0,1742.0,2268.0
1020103388_bank,53.36128,-6.28355,0.0,2528.0,2553.0
632707895_bank,53.34655,-6.27925,0.0,1907.0,1760.0
632644411_bank,53.34643,-6.27814,0.0,1845.0,1696.0
849784690_bank,53.33232,-6.27428,0.0,1694.0,2139.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,2596.0,2424.0
262397827_bank,53.36083,-6.27172,0.0,2310.0,2138.0
442397196_bank,53.34853,-6.26905,0.0,1860.0,1814.0
739766942_bank,53.33617,-6.26556,0.0,1479.0,1825.0
715732955_bank,53.3226,-6.26548,0.0,1128.0,1550.0
