label,lat,long,input
2053,53.356787998,-6.250707768,0
2054,53.3345761758766,-6.221566200256348,0
2055,53.402442666685225,-6.2581628174743855,0
2056,53.36990050901304,-6.268901824951172,0
2057,53.357142743486726,-6.241469626983644,0
2058,53.361772,-6.239995,0
2059,53.320929,-6.216959,0
2060,53.336671464,-6.301575824,0
2061,53.30640333160699,-6.190388202667236,0
2062,53.31154453242418,-6.249396800994873,0
2063,53.45866616054058,-6.31037312756348,0
2064,53.31386492152361,-6.2941038608551025,0
2065,53.6113515809,-6.18581066932,0
2066,53.325367,-6.244766,0
2067,53.326138,-6.332314,0
2068,53.337574539,-6.27569377,0
2069,53.28832,-6.123974,0
2070,53.282957,-6.119531,0
2071,53.2468305680628,-6.143760681152344,0
2072,53.29520850134165,-6.301968097686768,0
2073,53.357477409,-6.279591656,0
2074,53.34772442539476,-6.311528567869004,0
2075,53.28147062868989,-6.243646144866943,0
2076,53.27366334282484,-6.256424188613892,0
2077,53.3726840934499,-6.3685940588005,0
2078,53.344390003742944,-6.237809658050537,0
2079,53.341655554,-6.23378261,0
2080,53.404684,-6.41741,0
2081,53.400754159038,-6.2594628408888,0
2082,53.33144962587507,-6.25147819519043,0
2083,53.329769267833,-6.2379624291661,0
2084,53.297775043997376,-6.198209524154663,0
2085,53.3296791574141,-6.23463108213631,0
2086,53.297500188,-6.244458953,0
2087,53.34648007,-6.258570372,0
2088,53.346077699,-6.276718933,0
2089,53.35324421213528,-6.265329122543335,0
2090,53.391147600082085,-6.08468770980835,0
2091,53.335730501,-6.240318696,0
2092,53.337150328016,-6.2377895452203,0
2093,53.33000171258465,-6.253232149570067,0
2094,53.334388408,-6.243324423,0
2095,53.273829214,-6.093382842,0
2096,53.29799145372311,-6.194636821746826,0
2097,53.298201,-6.224625,0
2098,53.33750481,-6.329896161,0
2099,53.331521234,-6.222343456,0
2100,53.56791150198734,-6.384457492065394,0
2101,53.328093998819,-6.3254743077142,0
2102,53.31831048600443,-6.2110090255737305,0
2103,53.26464816574479,-6.151204529113784,0
2104,53.286477671,-6.268496255,0
2105,53.318402776514546,-6.236414909362793,0
2106,53.336421245395655,-6.218218803405762,0
2107,53.32888670906353,-6.254761219024658,0
2108,53.341494775031784,-6.45197868347168,0
2109,53.32781664573291,-6.231962442398071,0
2110,53.32525991868864,-6.239655017852783,0
2111,53.326618399252006,-6.225074529647827,0
2112,53.3758149207632,-6.054818630218506,0
2113,53.337554,-6.242434,0
2114,53.40631137730778,-6.247146507934531,0
2115,53.367122244269915,-6.288396120071411,0
2116,53.336148567067,-6.2234551932045,0
2117,53.28358837801316,-6.112823564433143,0
2118,53.45179699720337,-6.2006449699401855,0
2119,53.45272,-6.199639,0
2120,53.308743231687465,-6.23374342918396,0
2121,53.38789378093,-6.3922093066215,0
2122,53.36781105347572,-6.190826880950908,0
2123,53.452892,-6.229138,0
2124,53.34155858,-6.29838086,0
2125,53.27415526157773,-6.258460421257723,0
2126,53.470402428033395,-6.230674097869837,0
2127,53.336726499,-6.304425212,0
2128,53.44666427,-6.14901471,0
2129,53.25291610763485,-6.1199212074279785,0
2130,53.403199751662,-6.4091837743181,0
2131,53.39078645966314,-6.248563528088198,0
2132,53.324717426,-6.23206199,0
2133,53.332590074352034,-6.24347448348999,0
2134,53.287066039,-6.145631238,0
2135,53.337787963,-6.424070334,0
2136,53.367282287479604,-6.250351667404175,0
2137,53.349407412406656,-6.267830611114498,0
2138,53.470200749675776,-6.2346242552948095,0
2139,53.345639,-6.2453,0
2140,53.32206860080856,-6.262357234954834,0
2141,53.456645978704124,-6.218379735946655,0
2142,53.34478778999628,-6.241179589826402,0
2143,53.347463767679756,-6.458539021118213,0
2144,53.34081435977908,-6.274787335968085,0
2145,53.271967255625,-6.0971461301794,0
2146,53.348588,-6.244202,0
2147,53.35010045805359,-6.34810209274292,0
2148,53.350090211332024,-6.34835958480835,0
2149,53.295396578,-6.169302824,0
2150,53.58244128219818,-6.1317261457770655,0
2151,53.48764624276259,-6.157657742533047,0
2152,53.473859542574765,-6.232083678278286,0
2153,53.44597621057147,-6.236658990383148,0
2154,53.33229535463351,-6.375975608825684,0
2155,53.33273102654107,-6.377906799316406,0
2156,53.324349968839634,-6.336836814880371,0
2157,53.35411192167501,-6.263923645019531,0
2158,53.29965857336731,-6.48867130279541,0
2159,53.338407168531916,-6.305723190307617,0
2160,53.3672945089186,-6.361758925668255,0
2161,53.24828141873419,-6.179251670837402,0
2162,53.277454898051396,-6.185517311096191,0
2163,53.313808143,-6.250008551,0
2164,53.61330037,-6.20733602,0
2165,53.312903449631676,-6.278643608093262,0
2166,53.34286554941194,-6.274480819702148,0
2167,53.33191,-6.238117,0
2168,53.33193275475221,-6.2435686243286455,0
2169,53.397916283001905,-6.279544830322266,0
2170,53.34137755254101,-6.278493404388428,0
2171,53.34865562411288,-6.291754245758057,0
2172,53.27404373242533,-6.259320974349976,0
2173,53.340341753114934,-6.27368688583374,0
2174,53.336992194812005,-6.299314051866531,0
2175,53.381576,-6.380856,0
2176,53.32484980284895,-6.217789649963379,0
2177,53.33337171243932,-6.221523284912109,0
2178,53.321011,-6.2158,0
2179,53.32976565366133832648201903148,-6.23135882431375424191706431657,0
2180,53.33956024275612,-6.235899925231934,0
2181,53.283491181120404,-6.439629793167114,0
2182,53.38113974904023,-6.207683086395264,0
2183,53.3792966145994,-6.276669502258301,0
2184,53.32877137418667,-6.258666515350342,0
2185,53.28389528014232,-6.378335952758789,0
2186,53.349518616,-6.245431572,0
2187,53.401965,-6.216278,0
2188,53.400695324,-6.261842321,0
2189,53.397959,-6.212792,0
2190,53.400695324,-6.261842321,0
2191,53.339009333405095,-6.42625093460083,0
2192,53.361757248032085,-6.2776994705200195,0
2193,53.35694866427025,-6.422399282455444,0
2194,53.361715631459106,-6.248932778835297,0
2195,53.32948524,-6.269663871,0
2196,53.473590704122955,-6.142001152038574,0
2197,53.387307,-6.139059,0
2198,53.376224363,-6.318267433,0
2199,53.34925764427105,-6.274040937423706,0
2200,53.34988527325643,-6.245920658111572,0
2201,53.41031208057324,-6.440305709838867,0
2202,53.387590091345146,-6.0678863525390625,0
2203,53.37279380871161,-6.094064712524414,0
2204,53.388549880181586,-6.124792098999023,0
2205,53.38370592488783,-6.06570839881897,0
2206,53.274863076028375,-6.346235275268555,0
2207,53.34346765133219,-6.2722063064575195,0
2208,53.520767778031825,-6.169016361236572,0
2209,53.2782,-6.416175,0
2210,53.523236235797214,-6.1710333824157715,0
2211,53.46412120554993,-6.241665333509445,0
2212,53.31112146446339,-6.277055740356445,0
2213,53.252550027,-6.214175877,0
2214,53.252550027,-6.214175877,0
2215,53.252550027,-6.214175877,0
2216,53.26245351337819,-6.198177337646484,0
2217,53.37354430623343,-6.405915766954422,0
2218,53.26883199079706,-6.175861358642578,0
2219,53.31282653094475,-6.247680187225342,0
2220,53.31226245633899,-6.2490105628967285,0
2221,53.31153171224455,-6.249096393585205,0
2222,53.31172401453482,-6.2482380867004395,0
2223,53.313376084,-6.251465031,0
2224,53.522169245849604,-6.1710007936401325,0
2225,53.37875901869305,-6.232059001922607,0
2226,53.352415,-6.28425,0
2227,53.3087,-6.36108,0
2228,53.523949797401386,-6.177087128162384,0
2229,53.46284535205347,-6.241859793663025,0
2230,53.453745600447206,-6.212634444236755,0
2231,53.388563468,-6.175653401,0
2232,53.283163037,-6.375786006,0
2233,53.296016473938614,-6.280059814453125,0
2234,53.288449147773015,-6.287205219268799,0
2235,53.31369826794724,-6.3011956214904785,0
2236,53.30315931280314,-6.271970272064209,0
2237,53.34295522470486,-6.431411504745483,0
2238,53.327336069635464,-6.450948715209961,0
2239,53.34814325983488,-6.421165466308594,0
2240,53.27386223140614,-6.348305940628052,0
2241,53.298260762072665,-6.284952163696289,0
2242,53.28321536530806,-6.339046955108643,0
2243,53.270011006543555,-6.328822374343872,0
2244,53.28336930923679,-6.266069412231445,0
2245,53.34583754438052,-6.4315080642700195,0
2246,53.35634034936858,-6.4720845222473144,0
2247,53.338202174294786,-6.305980682373047,0
2248,53.33087298301704,-6.374216079711914,0
2249,53.313769,-6.288892,0
2250,53.32801528227204,-6.314542293548584,0
2251,53.33611078,-6.2819338,0
2252,53.3204760567365,-6.424156129360199,0
2253,53.386249299,-6.374801129,0
2254,53.39257755803811,-6.416970491409302,0
2255,53.44995692256135,-6.185603141784668,0
2256,53.38931769567039,-6.1104583740234375,0
2257,53.35685261512618,-6.290981769561768,0
2258,53.35965683000229,-6.282336203704858,0
2259,53.331259804636986,-6.2481812698364365,0
2260,53.3407107235594,-6.242315769195557,0
2261,53.34294302976055,-6.291642304229754,0
2262,53.32934484174521,-6.243190169334412,0
2263,53.43133446088873,-6.176462173461914,0
2264,53.32564439870822,-6.239054203033447,0
2265,53.326994570714724,-6.236168402099565,0
2266,53.32679888995612,-6.236851047607388,0
2267,53.28597344332202,-6.235642433166504,0
2268,53.39400107025436,-6.252486705780029,0
2269,53.309805131694006,-6.407931018524209,0
2270,53.277442067636386,-6.184337139129639,0
2271,53.246329820571056,-6.180989742279053,0
2272,53.27739739,-6.11393449,0
2273,53.2569726531507,-6.114964485168457,0
2274,53.27635146828265,-6.220664978027344,0
2275,53.246167035,-6.180843732,0
2276,53.2559404655256,-6.114069378052136,0
2277,53.272115,-6.199533,0
2278,53.246167035,-6.180843732,0
2279,53.48944989501003,-6.164274215698242,0
2280,53.28828239498412,-6.245577335357666,0
2281,53.23665575742078,-6.132386130935629,0
2282,53.24837129282137,-6.179251670837402,0
2283,53.313808143,-6.250008551,0
2284,53.259154812802,-6.218283176422119,0
2285,53.27628344118378,-6.219881873558506,0
2286,53.256946980021624,-6.114835739135742,0
2287,53.28834653074915,-6.245748996734619,0
2288,53.25927033579824,-6.218283176422119,0
2289,53.25711385508516,-6.114792823791504,0
2290,53.308946272366,-6.2828312509518,0
2291,53.277442067636386,-6.341772079467773,0
2292,53.30441591850042,-6.290316581726074,0
2293,53.280405791192486,-6.408634185791016,0
2294,53.33861484221778,-6.305093195861787,0
2295,53.40103497397101,-6.142924544982901,0
2296,53.324349968839634,-6.254356205463409,0
2297,53.248961606914,-6.1802810141435,0
2298,53.32024854558887,-6.221780776977539,0
2299,53.33159058183255,-6.266841888427734,0
2300,53.46933759434036,-6.240105628967285,0
2301,53.33862145,-6.42399625,0
2302,53.34529133,-6.27672902,0
2303,53.349717,-6.24339,0
2304,53.35949068627083,-6.279866695404053,0
2305,53.356632,-6.243046,0
2306,53.39617623291523,-6.210944652557373,0
2307,53.349308879636645,-6.282291412353516,0
2308,53.325069919470785,-6.260508965606732,0
2309,53.28165985908318,-6.190431118011475,0
2310,53.28358739551987,-6.408119201660156,0
2311,53.290065333388156,-6.23848557472229,0
2312,53.31487764849685,-6.308984756469727,0
2313,53.33108441963674,-6.250416040420532,0
2314,53.28928290195508,-6.277785301208496,0
2315,53.31533371398156,-6.30870695225326,0
2316,53.26183743298191,-6.226136684417725,0
2317,53.32468319216309,-6.251542568206787,0
2318,53.35968277245152,-6.19153618812561,0
2319,53.28055974524242,-6.406960487365723,0
2320,53.3919793488096,-6.374881267547607,0
2321,53.363203345355984,-6.261037588119507,0
2322,53.38144693035751,-6.275897026062012,0
2323,53.246533833325074,-6.143268949737603,0
2324,53.34131541811455,-6.274716854095459,0
2325,53.33164183842889,-6.281132698059082,0
2326,53.33656218492476,-6.282720565795898,0
2327,53.285216593124986,-6.153041124343872,0
2328,53.37621174582996,-6.374709606170654,0
2329,53.40528511814195,-6.172857284545898,0
2330,53.35729828136575,-6.429233551025391,0
2331,53.337756308192155,-6.455497741699219,0
2332,53.398005842478184,-6.227145195007324,0
2333,53.384198664146,-6.246929168701172,0
2334,53.361949323995994,-6.238367557525635,0
2335,53.357685033850025,-6.268751621246338,0
2336,53.39739171657006,-6.205751895904541,0
2337,53.350436042100526,-6.2778496742248535,0
2338,53.321258,-6.240297,0
2339,53.36740794950851,-6.195826677246032,0
2340,53.37840061765171,-6.355118751525879,0
2341,53.37329307505995,-6.370525360107422,0
2342,53.37814461506114,-6.369409561157227,0
2343,53.375430892984575,-6.403613090515137,0
2344,53.25904955828408,-6.219742298126221,0
2345,53.400590191881825,-6.262636184692383,0
2346,53.49382864301712,-6.145563125610352,0
2347,53.483559078648,-6.1447383320975,0
2348,53.49371375453022,-6.141958236694336,0
2349,53.52499022043433,-6.1806464195251465,0
2350,53.32392234441542,-6.280329536956742,0
2351,53.327067237720556,-6.2780182523501935,0
2352,53.28143214104974,-6.45146369934082,0
2353,53.376840031,-6.311088774,0
2354,53.270425,-6.333,0
2355,53.31203169639739,-6.301217079162598,0
2356,53.34948887,-6.28427851,0
2357,53.375866124205395,-6.315593719482422,0
2358,53.341676,-6.284817,0
2359,53.37701818537965,-6.312353610992432,0
2360,53.31226245633902,-6.27244234085083,0
2361,53.295175659,-6.141188044,0
2362,53.3652400910147,-6.2766265869140625,0
2363,53.34800235857889,-6.284523010253906,0
2364,53.372834048369086,-6.237614660049417,0
2365,53.36129370117881,-6.265575885772705,0
2366,53.40069253912216,-6.26295804977417,0
2367,53.360199,-6.197278,0
2368,53.367399,-6.186728,0
2369,53.285966169,-6.117373785,0
2370,53.345965642954944,-6.2767767906188965,0
2371,53.28921299534203,-6.194415807658515,0
2372,53.377171791181546,-6.327931880950928,0
